30,35
60,35
90,35
120,35
150,35
180,35
222,35
252,35
282,35
310,35
342,35
372,35

30,65
90,65
180,65
222,65
310,65
372,65

30,95
60,95
90,95
120,95
150,95
180,95
222,95
252,95
282,95
310,95
342,95
372,95

30,120
90,120
140,120
263,120
310,120
372,120

30,140
60,140
90,140
140,140
178,140
224,140
263,140
310,140
342,140
372,140

90,165
178,165
224,165
310,165

90,195
140,195
178,195
224,195
263,195
310,195

20,235
50,235
80,235
110,235
140,235
262,235
292,235
320,235
352,235
382,235

90,280
140,280
178,280
224,280
263,280
310,280

90,305
140,305
263,305
310,305

30,330
60,330
90,330
120,330
150,330
180,330
222,330
252,330
282,330
310,330
342,330
372,330

30,350
90,350
180,350
222,350
310,350
372,350

30,370
60,370
90,370
120,370
150,370
180,370
222,370
252,370
282,370
310,370
342,370
372,370

60,395
90,395
140,395
260,395
305,395
342,395

30,420
60,420
90,420
150,420
180,420
222,420
252,420
310,420
342,420
372,420

30,445
180,445
222,445
372,445

30,470
60,470
90,470
120,470
150,470
180,470
222,470
252,470
282,470
310,470
342,470
372,470

