400,15,1,0
15,165,1,0
15,165,-383,0
85,14,1,-152
14,58,-70,-152
84,14,0,-205
85,14,1,-248
14,58,-70,-248
84,14,0,-298
400,15,1,-478
15,170,1,-310
15,170,-383,-310
85,14,-315,-152
14,58,-315,-152
84,14,-315,-205
85,14,-315,-248
14,58,-315,-248
84,14,-315,-298
32,26,-45,-48
45,26,-115,-48
32,26,-320,-48
45,26,-238,-48
93,16,-153,-108
15,62,-191,-108
93,16,-153,-295
15,62,-191,-295
93,16,-153,-388
15,60,-191,-388
35,15,-45,-109
35,15,-320,-109
48,10,-114,-345
48,10,-238,-345
12,56,-112,-250
12,56,-275,-250
11,97,-112,-115
11,97,-276,-115
50,8,-112,-159
50,8,-237,-159
95,55,-152,-205
6,60,-197,-15
26,12,-12,-390
26,12,-359,-390
35,12,-45,-343
35,12,-317,-343
8,58,-72,-343
8,58,-319,-343
118,12,-44,-436
115,12,-238,-436
14,56,-110,-390
14,56,-275,-390




